Bill No.,Bill Year,Short Title of Bill,Bill Category,Ministry,Act No.,Date of Introduction,Date of Passing in Rajya Sabha,Date of Passing in Lok Sabha,Date of Assented,Status,URL for Bills as Introduced,URL for Bills as Passed in Both Houses,URL for Bill Errata
XXXIX,1989,"The Punjab Pre-Emption (Chandigarh and Delhi Repeal) Bill, 1989",Ordinary Bill,HOME AFFAIRS,22 of 1989,11/8/1988,6/9/1988,11/5/1989,22/5/1989,Assented,NA,NA,NA
XXVI,1989,"The Constitution (Sixty-Second Amendment) Bill, 1989",Constitutional Amendment Bill,LABOUR,NA,20/12/1989,21/12/1989,26/12/1989,25/1/1990,Passed,NA,NA,NA
XXI,1989,"The Nagaland University Bill, 1989",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,35 of 1989,18/8/1989,10/11/1989,13/10/1989,20/10/1989,Assented,NA,NA,NA
XX,1989,"The Acquired Inomuno Deficiency Syndrome (AIDS) prevention Bill, 1989",Ordinary Bill,HEALTH AND FAMILY WELFARE,NA,18/8/1989,NA,NA,NA,Withdrawn,NA,NA,NA
XVI,1989,"The Employees State Insurance (Amendment) Bill, 1989",Ordinary Bill,LABOUR,29 of 1989,24/7/1989,31/7/1989,14/8/1989,23/8/1989,Assented,NA,NA,NA
XIX,1989,"The Criminal Law Amendment (Amending) Bill, 1990",Ordinary Bill,HOME AFFAIRS,9 of 1990,8/1/1990,22/12/1989,29/3/1990,17/4/1990,Assented,NA,NA,NA
XIII,1989,"The Assam University Bill, 1989",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,23 of 1989,5/5/1989,11/5/1989,15/5/1989,23/5/1989,Assented,NA,NA,NA
XII,1989,"The Hire Purchase (Amendment) Bill, 1989",Ordinary Bill,NA,NA,5/5/1989,NA,NA,NA,Withdrawn,NA,NA,NA
XXV,1988,"The Delhi Rent Control (Amendment) Bill, 1988",Ordinary Bill,NA,57 of 1988,13/5/1988,30/8/1988,9/5/1988,10/5/1988,Assented,NA,NA,NA
XXIV,1988,"The Trade Unions and Industrial Disputes (Amendment) Bill, 1988",Ordinary Bill,LABOUR,NA,13/5/1988,NA,NA,NA,Withdrawn,NA,NA,NA
XXIII,1988,"The Code of Criminal Procedure (Second Amendment) Bill, 1988",Ordinary Bill,HOME AFFAIRS,32 of 1988,5/11/1988,5/12/1988,13/5/1988,25/5/1988,Assented,NA,NA,NA
XXII,1988,"The Delhi University (Amendment) Bill, 1988",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,NA,5/10/1988,8/9/1988,NA,NA,Lapsed,NA,NA,NA
XVIII,1988,"The Tamil Nadu Co-operative Societies (Appointment of Special Officers) Amendment Bill, 1988",Ordinary Bill,AGRICULTURE,23 of 1988,28/3/1988,29/3/1988,4/5/1988,4/8/1988,Assented,NA,NA,NA
XVII,1988,"The Tamil Nadu Agricultural Service Co-operative Societies Appointment of Special Officer Amendment Bill, 1988",Ordinary Bill,AGRICULTURE,22 of 1988,28/3/1988,29/3/1988,4/5/1988,4/8/1988,Assented,NA,NA,NA
XVI,1988,"The Tamil Nadu State Legislature (Deligation of Powers) Bill, 1988",Ordinary Bill,HOME AFFAIRS,21 of 1988,28/3/1988,28/3/1988,4/5/1988,4/8/1988,Assented,NA,NA,NA
XV,1988,"The Raj Ghat Samadhi Amendment Bill, 1988",Ordinary Bill,NA,30 of 1988,16/3/1988,27/4/1988,5/11/1988,18/5/1988,Assented,NA,NA,NA
XLII,1988,"The Auroville Foundation Bill, 1988",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,54 of 1988,31/8/1988,9/1/1988,9/5/1988,29/9/1988,Assented,NA,NA,NA
XLI,1988,"The Benami Transactions (Prohibition) Bill, 1988",Ordinance Replacing Bill,NA,45 of 1988,31/8/1988,9/1/1988,9/2/1988,9/5/1988,Assented,NA,NA,NA
XL,1988,"The Jamia Millia Islamia Bill, 1988",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,58 of 1988,23/8/1988,29/8/1988,9/2/1988,10/8/1988,Assented,NA,NA,NA
XIV,1988,"The Constitution (Fifty-ninth Amendment) Bill, 1988",Constitutional Amendment Bill,HOME AFFAIRS,NA,19/3/1988,15/3/1988,23/3/1988,30/3/1988,Passed,NA,NA,NA
X,1988,"The Indian Contract (Amendment) Bill, 1988",Ordinary Bill,NA,NA,29/2/1988,21/11/1988,NA,NA,Lapsed,NA,NA,NA
V,1988,"The Major Port Trusts (Amendment) Bill, 1988",Ordinance Replacing Bill,NA,12 of 1988,23/2/1988,3/9/1988,23/3/1988,29/3/1988,Assented,NA,NA,NA
LV,1988,"The Prevention of Apartheid in Sports Bill, 1988",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,NA,12/7/1988,NA,NA,NA,Withdrawn,NA,NA,NA
LIII,1988,"The Press and Registration of Books (Amendment) Bill, 1988",Ordinary Bill,INFORMATION AND BROADCASTING,NA,12/5/1988,NA,NA,NA,Withdrawn,NA,NA,NA
LII,1988,"The Central Industrial Security Force (Amendment) Bill, 1989",Ordinary Bill,HOME AFFAIRS,20 of 1989,5/12/1988,14/3/1989,11/5/1989,18/5/1989,Assented,NA,NA,NA
LI,1988,"The Constitution (Sixty-first Amendment) Bill,1988",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,NA,24/11/1988,NA,NA,NA,Pending,NA,NA,NA
II,1988,"The Delhi Municipal Corporation (Amendment) Bill, 1988",Ordinance Replacing Bill,NA,11 of 1988,23/2/1988,3/10/1988,23/3/1988,29/3/1988,Assented,NA,NA,NA
I,1988,"The Delhi Administration (Amendment) Bill, 1988",Ordinance Replacing Bill,HOME AFFAIRS,10 of 1988,23/2/1988,10/3/1988,22/3/1988,29/3/1988,Assented,NA,NA,NA
XXXVIII,1987,"The Cine-Workers and Cinema Theatre Workers (Regulation of Employment) Amendment Bill, 1988",Ordinary Bill,LABOUR,35 of 1988,9/11/1987,1/12/1987,12/5/1988,8/12/1988,Assented,NA,NA,NA
XXXVI,1987,"The All India Council for Technical Education Bill, 1987",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,52 of 1987,31/8/1987,26/11/1987,15/12/1987,23/12/1987,Assented,NA,NA,NA
XXXV,1987,"The Authorised Translations (Central Laws) Amendment Bill, 1987",Ordinary Bill,NA,18 of 1988,31/8/1987,19/11/1987,2/3/1988,31/3/1988,Assented,NA,NA,NA
XXXIV,1987,"The Warehousing Corporations (Amendment) Bill, 1987",Ordinary Bill,NA,37 of 1989,31/8/1987,17/11/1988,18/8/1989,22/10/1989,Assented,NA,NA,NA
XXXIII,1987,"The Dock Workers (Regulation of Employment) (Amendment) Bill, 1987",Ordinary Bill,NA,56 of 1988,31/8/1987,10/8/1988,5/9/1988,1/10/1988,Assented,NA,NA,NA
XXXII,1987,"The Companies (Amendment) Bill, 1987",Ordinary Bill,NA,31 of 1988,31/8/1987,27/4/1988,5/12/1988,24/5/1988,Assented,NA,NA,NA
XXXI,1987,"The Indian Medical Council (Amendment) Bill, 1987",Ordinary Bill,HEALTH AND FAMILY WELFARE,NA,26/8/1987,NA,NA,NA,Pending,NA,NA,NA
XXX,1987,"The Punjab State Legislature (Delegation of Powers) Bill, 1987",Ordinary Bill,HOME AFFAIRS,24 of 1987,13/8/1987,17/8/1987,24/8/1987,27/8/1987,Assented,NA,NA,NA
XXVI,1987,"The Representation of the People (Amendment) Bill, 1987",Ordinary Bill,NA,31 of 1987,3/8/1987,21/8/1987,28/8/1987,8/9/1987,Assented,NA,NA,NA
XXIX,1987,"The Merchant Shipping (Second Amendment) Bill, 1987",Ordinary Bill,NA,55 of 1988,6/8/1987,10/9/1988,5/9/1988,1/10/1988,Assented,NA,NA,NA
XXIV,1987,"The Navy (Amendment) Bill, 1987",Ordinary Bill,DEFENCE,34 of 1987,28/7/1987,4/8/1987,28/8/1987,9/9/1987,Assented,NA,NA,NA
XXI,1987,"The Equal Remuneration (Amendment) Bill, 1987",Ordinary Bill,LABOUR,49 of 1987,5/12/1987,24/11/1987,12/9/1987,16/12/1987,Assented,NA,NA,NA
XX,1987,"The Atomic Energy (Amendment) Bill, 1987",Ordinary Bill,SCIENCE AND TECHNOLOGY,29 of 1987,5/12/1987,8/3/1987,27/8/1987,9/8/1987,Assented,NA,NA,NA
XVII,1987,"The Coconut Development Board (Amendment) Bill, 1987",Ordinary Bill,AGRICULTURE,21 of 1987,23/4/1987,5/5/1987,30/7/1987,5/8/1987,Assented,NA,NA,NA
XLIX,1987,"The Maternity Benefit (Amendment) Bill, 1988",Ordinary Bill,LABOUR,61 of 1988,12/1/1987,8/11/1988,21/11/1988,30/11/1988,Assented,NA,NA,NA
XLIV,1987,"The Forest (Conservation) Amendment Bill, 1988",Ordinary Bill,ENVIRONMENT AND FORESTS,69 of 1988,6/9/1988,6/9/1988,13/12/1988,17/12/1988,Assented,NA,NA,NA
XLII,1987,"The Representation of the People (Third Amendment) Bill, 1987",Ordinance Replacing Bill,NA,40 of 1987,9/11/1987,18/11/1987,23/11/1987,27/11/1987,Assented,NA,NA,NA
XLI,1987,"The Metro Railways (Construction of Works) Amendment Bill, 1987",Ordinary Bill,RAILWAYS,42 of 1987,9/11/1987,11/11/1987,1/12/1987,9/12/1987,Assented,NA,NA,NA
XIX,1987,"The Shipping Agents (Licencing) Bill, 1987",Ordinary Bill,SHIPPING,NA,12/5/1987,NA,NA,NA,Withdrawn,NA,NA,NA
XII,1987,"The Jute Packging Materials (Compulsory Use in Packing Commodities) Bill, 1987",Ordinary Bill,TEXTILES,10 of 1987,17/3/1987,20/3/1987,6/5/1987,9/5/1987,Assented,NA,NA,NA
XI,1987,"The Delhi Municipal Corporation (Amendment) Bill, 1987",Ordinance Replacing Bill,HOME AFFAIRS,8 of 1987,17/3/1987,18/3/1987,23/3/1987,29/3/1987,Assented,NA,NA,NA
X,1987,"The Payment of Gratuity (Amendment) Bill, 1987",Ordinary Bill,LABOUR,22 of 1987,18/3/1987,5/5/1987,6/8/1987,12/8/1987,Assented,NA,NA,NA
VIII,1987,"The All India Institute of Medical Sciences and the Post Graduate Institute of Medical Education and Research, Chandigarh (Amendment) Bill, 1987",Ordinary Bill,HEALTH AND FAMILY WELFARE,30 of 1987,11/3/1987,3/3/1987,28/3/1987,8/9/1987,Assented,NA,NA,NA
LII,1987,"The Hospitals and Other Institutions (Redressal of Grievances of Employees) Bill, 1988",Ordinary Bill,LABOUR,NA,10/12/1987,28/4/1988,NA,NA,Lapsed,NA,NA,NA
LI,1987,"The Administrative Tribunals (Amendment) Bill, 1987",Ordinary Bill,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",51 of 1987,12/4/1987,12/9/1987,15/12/1987,22/12/1987,Assented,NA,NA,NA
L,1987,"The Beedi and Cigar Workers (Conditions of Employment) Amendment Bill, 1989",Ordinary Bill,LABOUR,NA,3/12/1987,14/3/1989,NA,NA,Lapsed,NA,NA,NA
XXXI,1986,"The Child Labour (Prohibition and Regulation) Bill, 1986",Ordinary Bill,LABOUR,61 of 1986,22/8/1986,5/11/1986,9/12/1986,23/12/1986,Assented,NA,NA,NA
XXX,1986,"The Suppression of Immoral Traffic in Women and Girls (Amendment) Bill, 1986",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,44 of 1986,20/8/1986,21/8/1986,22/8/1986,8/9/1986,Assented,NA,NA,NA
XXVIII,1986,"The Indecent Representation of Women (Prohibition) Bill, 1986",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,60 of 1986,20/8/1986,11/12/1986,12/9/1986,23/12/1986,Assented,NA,NA,NA
XXVII,1986,"The Essential Commodities (Amendment) Bill, 1986",Ordinary Bill,FOOD PROCESSING INDUSTRIES,42 of 1986,24/7/1986,30/7/1986,22/8/1986,8/9/1986,Assented,NA,NA,NA
XXVI,1986,"The Repealing and Amending Bill, 1986",Ordinary Bill,NA,19 of 1988,22/7/1986,28/7/1986,28/2/1988,4/4/1988,Assented,NA,NA,NA
XXIX,1986,"The Dowry Prohibition (Amendment) Bill, 1986",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,43 of 1986,21/8/1986,22/8/1986,22/8/1986,8/9/1986,Assented,NA,NA,NA
XXII,1986,"The Mines and Minerals (Regulation and Development) Amendment Bill, 1986",Ordinary Bill,NA,37 of 1986,14/5/1986,24/7/1986,13/8/1986,21/8/1986,Assented,NA,NA,NA
XXI,1986,"The Indian Electricity (Amendment) Bill, 1986",Ordinary Bill,POWER,31 of 1986,14/5/1986,22/7/1986,8/4/1986,8/12/1986,Assented,NA,NA,NA
XLV,1986,"The Khadi and Village Industries Commission (Amendment) Bill, 1987",Ordinary Bill,NA,12 of 1987,9/12/1986,9/3/1987,11/5/1987,15/5/1987,Assented,NA,NA,NA
XLIV,1986,"The Labour Welfare Fund Laws (Amendment) Bill, 1987",Ordinary Bill,LABOUR,15 of 1987,12/4/1986,3/9/1987,5/12/1987,22/5/1987,Assented,NA,NA,NA
XLIII,1986,"The Parsi Marriage and Divorce (Amendment) Bill, 1986",Ordinary Bill,NA,5 of 1988,24/11/1986,3/8/1987,23/2/1988,25/3/1988,Assented,NA,NA,NA
XLI,1986,"The Infant Milk Foods and Feeding Bottles (Regulation of Production Supply and Distribution) Bill, 1986",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,NA,11/12/1986,18/11/1986,NA,NA,Lapsed,NA,NA,NA
XIII,1986,"The Inter State Water Disputes (Amendment) Bill, 1986",Ordinary Bill,WATER RESOURCES,20 of 1986,19/3/1986,20/3/1986,31/3/1986,2/4/1986,Assented,NA,NA,NA
XII,1986,"The AdministrativeTribunals (Amendment) Bill, 1986",Ordinary Bill,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",19 of 1986,3/10/1986,3/11/1986,17/3/1986,25/3/1986,Assented,NA,NA,NA
V,1986,"The Motor Vehicles (Amendment) Bill, 1986",Ordinary Bill,NA,9 of 1986,21/2/1986,25/2/1986,3/4/1986,13/3/1986,Assented,NA,NA,NA
IX,1986,"The Contract Labour (Regulation and Abolition) Amendment Bill, 1986",Ordinary Bill,LABOUR,4 of 1986,25/2/1986,3/11/1986,18/3/1986,25/3/1986,Assented,NA,NA,NA
III,1986,"The Merchant Shipping (Amendment) Bill, 1986",Ordinary Bill,NA,33 of 1986,21/2/1986,23/7/1986,7/8/1986,14/8/1986,Assented,NA,NA,NA
XXVII,1985,"The University Grants Commission (Amendment) Bill, 1985",Ordinary Bill,NA,70 of 1985,6/12/1985,9/12/1985,17/12/1985,20/12/1985,Assented,NA,NA,NA
XXVI,1985,"The International Airports Authority (Amendment) Bill, 1985",Ordinary Bill,CIVIL AVIATION,72 of 1985,4/12/1985,9/12/1985,17/12/1985,20/12/1985,Assented,NA,NA,NA
XXII,1985,"The Delegated Legislation Provisions (Amendment) Bill, 1985",Ordinary Bill,NA,4 of 1986,26/8/1985,29/8/1985,17/12/1985,14/1/1986,Assented,NA,NA,NA
XXI,1985,"The Aurovile (Emergency Provisions) Bill, 1985",Ordinary Bill,NA,51 of 1985,14/8/1985,19/8/1985,28/8/1985,9/2/1985,Assented,NA,NA,NA
XVIII,1985,"The Pondicherry University Bill, 1985",Ordinary Bill,NA,53 of 1985,21/5/1985,30/7/1985,28/8/1985,4/9/1985,Assented,NA,NA,NA
XVII,1985,"The Indira Gandhi National Open University Bill, 1985",Ordinary Bill,NA,50 of 1985,21/5/1985,5/8/1985,26/8/1985,2/9/1985,Assented,NA,NA,NA
XVI,1985,"The Companies (Amendment) Bill, 1985",Ordinary Bill,NA,35 of 1985,5/9/1985,14/5/1985,17/5/1985,24/5/1985,Assented,NA,NA,NA
XV,1985,"The Payment of Bonus (Amendment) Bill, 1985",Ordinary Bill,LABOUR,30 of 1985,5/6/1985,5/9/1985,16/5/1985,22/5/1985,Assented,NA,NA,NA
V,1985,"The Bhopal Gas Leak disaster (Processing of Claims) Bill, 1985",Ordinance Replacing Bill,CHEMICALS AND FERTILIZERS,21 of 1985,15/3/1985,18/3/1985,27/3/1985,29/3/1985,Assented,NA,NA,NA
IX,1985,"The Requisitioning an Acquisition of Innovable Property (Amendment) Bill, 1985",Ordinance Replacing Bill,NA,20 of 1985,19/3/1985,21/3/1985,28/3/1985,29/3/1985,Assented,NA,NA,NA
IV,1985,"The Gangtok Municipal Corporation (Amendment) Bill, 1985",Ordinance Replacing Bill,NA,12 of 1985,18/1/1985,24/1/1985,29/1/1985,16/2/1985,Assented,NA,NA,NA
III,1985,"The General Insurance Business (Nationalisation) Amendment Bill, 1985",Ordinance Replacing Bill,NA,3 of 1985,18/1/1985,23/1/1985,25/1/1985,2/9/1985,Assented,NA,NA,NA
II,1985,"The Sugar Undertaking (Taking Over of Management) Amendment Bill, 1985",Ordinance Replacing Bill,NA,11 of 1985,18/1/1985,24/1/1985,29/1/1985,16/2/1985,Assented,NA,NA,NA
I,1985,"The National Capital Region Planning Board Bill, 1985",Ordinary Bill,NA,2 of 85,18/1/1985,23/1/1985,NA,9/2/1985,Assented,NA,NA,NA
XXXVII,1984,"The Monopolicies and Restrictive Trade Practices (Amendment) Bill, 1984",Ordinary Bill,NA,30 of 1984,22/12/1983,26/4/1984,7/5/1984,21/5/1984,Assented,NA,NA,NA
XXXI,1984,"The Sales Promotion Employees (Conditions of Service) Amendment Bill, 1983",Ordinary Bill,LABOUR,NA,12/12/1983,2/8/1984,6/8/1984,NA,Passed,NA,NA,NA
XXVII,1984,"The Bonded Labour System (Abolition) Amendment Bill, 1984",Ordinary Bill,LABOUR,73 of 1985,29/8/1984,19/11/1985,20/12/1985,24/12/1985,Assented,NA,NA,NA
XXIV,1984,"The Handlooms (Reservation of Articles for Production) Bill, 1985",Ordinary Bill,NA,22 of 1985,29/8/1984,14/3/1985,28/3/1985,29/3/1985,Assented,NA,NA,NA
XXIII,1984,"The Bonded Labour System (Abolition) Amendment Bill, 1984",Ordinary Bill,LABOUR,73 of 1985,29/8/1984,19/11/1985,20/12/1985,24/12/1985,Assented,NA,NA,NA
XXII,1984,"The Delhi Prohibition of Eveteasing Bill, 1988",Ordinary Bill,HOME AFFAIRS,NA,23/8/1984,24/11/1988,NA,NA,Lapsed,NA,NA,NA
XXI,1984,"The Family Courts Bill, 1984",Ordinary Bill,NA,66 of 1984,21/3/1984,23/8/1984,27/8/1984,14/9/1984,Assented,NA,NA,NA
XX,1984,"The Administrative Tribunals Bill, 1984",Ordinary Bill,HOME AFFAIRS,NA,21/8/1984,23/8/1984,NA,NA,Lapsed,NA,NA,NA
XVII,1984,"The Cinamatograph (Amendment) Bill, 1984",Ordinary Bill,INFORMATION AND BROADCASTING,56 of 1984,8/2/1984,8/8/1984,17/8/1984,27/8/1984,Assented,NA,NA,NA
XVI,1984,"The Standards of Weights and Measures (Enforcement) Bill, 1985",Ordinary Bill,CIVIL AVIATION,54 of 1985,6/8/1984,25/7/1985,29/8/1985,4/9/1985,Assented,NA,NA,NA
XV,1984,"The Coal Mines (Conservation And Development) Amendment Bill, 1985",Ordinary Bill,NA,55 of 1985,8/1/1984,25/7/1985,29/8/1985,9/4/1985,Assented,NA,NA,NA
XIX,1984,"The Copyright (Amendment) Bill, 1984",Ordinary Bill,NA,65 of 1984,16/3/1984,23/8/1984,27/8/1984,14/9/1984,Assented,NA,NA,NA
XII,1984,"The Wakf (Amendment) Bill, 1984",Ordinary Bill,NA,69 of 1984,10/5/1984,23/7/1984,27/8/1984,10/10/1984,Assented,NA,NA,NA
XI,1984,"The Employees State Insurance (Amendment) Bill, 1984",Ordinary Bill,NA,45 of 1984,5/10/1984,23/7/1984,8/1/1984,8/6/1984,Assented,NA,NA,NA
X,1984,"The Foreign Contribution (Regulation) Amendment Bill, 1984",Ordinary Bill,HOME AFFAIRS,NA,9/5/1984,25/8/1984,NA,NA,Lapsed,NA,NA,NA
VIII,1984,"The Government of Union Territories (Amendment) Bill, 1984",Ordinary Bill,NA,19 of 1984,23/4/1984,24/3/1984,30/3/1984,5/8/1984,Assented,NA,NA,NA
V,1984,"The University Grants Commission (Amendment) Bill, 1984",Ordinary Bill,NA,59 of 1984,22/3/1984,1/8/1984,21/8/1984,30/8/1984,Assented,NA,NA,NA
IX,1984,"The Delegated Legislation Provisions (Amendment) Bill, 1984",Ordinary Bill,NA,NA,5/2/1984,23/7/1984,NA,NA,Lapsed,NA,NA,NA
IV,1984,"The Asiatic Society Bill, 1984",Ordinary Bill,NA,5 of 1984,3/3/1984,3/5/1984,19/3/1984,23/3/1984,Assented,NA,NA,NA
II,1984,"The Workmens Compensation (Amendment) Bill, 1984",Ordinary Bill,LABOUR,22 of 1984,3/3/1984,22/3/1984,3/5/1985,12/5/1985,Assented,NA,NA,NA
I,1984,"The Prevention of Damage to Public Property Bill, 1984",Ordinary Bill,NA,3 of 1984,27/2/1984,3/3/1984,3/8/1984,16/3/1984,Assented,NA,NA,NA
XXXIV,1983,"The Punjab Panchayat Samitis and Zila Parishads (Temporary Supersession) Second Amendment Bill, 1983",Ordinary Bill,RURAL DEVELOPMENT,45 of 1983,15/12/1983,16/12/1983,19/12/1983,25/12/1983,Assented,NA,NA,NA
XXXIII,1983,"The Essential Commodities (Amendment) Bill, 1984",Ordinary Bill,NA,34 of 1984,19/12/1983,21/12/1983,30/4/1984,26/5/1984,Assented,NA,NA,NA
XXXI,1983,"The Sales Promotion Employees (Conditions of Service) Amendment Bill, 1984",Ordinary Bill,LABOUR,NA,12/12/1984,2/8/1984,NA,NA,Lapsed,NA,NA,NA
XVII,1983,"The Indian Telegraph (Amendment) Bill, 1984",Ordinary Bill,NA,NA,26/8/1984,30/7/1984,NA,NA,Lapsed,NA,NA,NA
XIV,1983,"The Criminal Law (Second Amendment) Bill, 1983",Ordinary Bill,NA,46 of 1983,8/8/1983,12/12/1983,21/12/1983,25/12/1983,Assented,NA,NA,NA
XIII,1983,"The Indian Railways (Amendment) Bill, 1983",Ordinary Bill,RAILWAYS,44 of 1983,8/3/1983,12/1/1983,21/12/1983,25/12/1983,Assented,NA,NA,NA
XXXVIII,1982,"The Hindu Widows Re-Marriage (Repeal) Bill, 1983",Ordinary Bill,NA,24 of 1983,11/2/1982,8/1/1983,26/8/1983,31/8/1983,Assented,NA,NA,NA
XXXVII,1982,"The Suppression of Unlawful Acts against Safety of Civil Aviation Bill, 1982",Ordinary Bill,CIVIL AVIATION,66 of 1982,22/10/1982,11/2/1982,11/5/1982,11/6/1982,Assented,NA,NA,NA
XXXVI,1982,"The Anti-Hijacking Bill, 1982",Ordinary Bill,CIVIL AVIATION,65 of 1982,22/10/1982,11/2/1982,11/5/1982,11/6/1982,Assented,NA,NA,NA
XXXIX,1982,"The Aircraft (Amendment) Bill, 1982",Ordinary Bill,CIVIL AVIATION,1 of 1983,11/5/1982,15/3/1983,22/3/1983,26/3/1983,Assented,NA,NA,NA
XXXII,1982,"The Administrators-General (Amendment) Bill, 1983",Ordinary Bill,NA,18 of 1983,18/10/1982,27/7/1983,19/8/1983,26/8/1983,Assented,NA,NA,NA
XXV,1982,"The Central Universities (Amendment) Bill, 1982",Ordinary Bill,NA,NA,11/8/1982,7/10/1982,NA,NA,Passed,NA,NA,NA
XVI,1982,"The Powers-of-Attorney (Amendment) Bill, 1982",Ordinary Bill,NA,55 of 1982,14/7/1982,10/7/1982,16/10/1982,22/10/1982,Assented,NA,NA,NA
XLV,1982,"The Public Wakfs (Limitation of Extension) (Delhi Amendment) Bill, 1982",Ordinary Bill,NA,39 of 1982,22/12/1981,15/7/1982,8/7/1982,19/8/1982,Assented,NA,NA,NA
XLI,1982,"The Copyright (Amendment) Bill, 1983",Ordinary Bill,NA,23 of 1983,11/5/1982,8/4/1983,25/8/1983,31/8/1983,Assented,NA,NA,NA
XL,1982,"The Delegated Legislation Provisions (Amendment) Bill, 1983",Ordinary Bill,NA,20 of 1983,11/5/1982,27/7/1983,19/8/1983,30/8/1983,Assented,NA,NA,NA
XI,1982,"The National Waterway (Allahabad-Haldia Stretch of the Ganga-Bhagirathi-Hooghly River) Bill, 1982",Ordinary Bill,NA,49 of 1982,5/6/1982,27/7/1982,10/6/1982,18/10/1982,Assented,NA,NA,NA
X,1982,"The Payment of Wages (Amendment) Bill, 1982",Ordinary Bill,LABOUR,38 of 1982,5/6/1982,19/7/1982,8/11/1982,18/8/1982,Assented,NA,NA,NA
IX,1982,"The Rubber (Amendment) Bill, 1982",Ordinary Bill,NA,54 of 1982,5/3/1982,26/7/1982,16/10/1982,22/10/1982,Assented,NA,NA,NA
II,1982,"The Navy (jAmendment) Bill, 1982",Ordinary Bill,DEFENCE,48 of 1982,16/3/1982,20/7/1982,10/4/1982,16/10/1982,Assented,NA,NA,NA
I,1982,"The Prevention of Black Marketing and Maintenance of Supplies of Essential Commodities (Amendment) Bill, 1982",Ordinary Bill,AGRICULTURE,27 of 1982,23/2/1982,13/7/1982,2/8/1982,5/8/1982,Assented,NA,NA,NA
XXXVI,1981,"The Indian Iron and Steel Company (Acquisition of Shares) Amendment Bill, 1981",Ordinary Bill,STEEL,59 of 1981,23/11/1981,NA,NA,29/12/1981,Assented,NA,NA,NA
XXXV,1981,"The Sugar Undertakings (Taking over of Management) Amendment Bill, 1981",Ordinary Bill,AGRICULTURE,44 of 1981,23/11/1981,26/11/1981,30/11/1981,30/11/1981,Assented,NA,NA,NA
XXVIII,1981,"The Assam State Legislature (Delegation of Powers) Bill, 1981",Ordinary Bill,NA,39 of 1981,9/7/1981,14/9/1981,18/9/1981,22/9/1981,Assented,NA,NA,NA
XXVII,1981,"The Pharmacy (Amendment) Bill, 1981",Ordinary Bill,HEALTH AND FAMILY WELFARE,22 of 1982,9/7/1981,12/1/1981,29/4/1982,18/5/1982,Assented,NA,NA,NA
XXI,1981,"The Arms (Amendment) Bill, 1981",Ordinary Bill,NA,NA,24/8/1981,9/8/1981,NA,NA,Withdrawn,NA,NA,NA
XX,1981,"the Working Journalists and Other Newspaper Emplpuees (Conditions of Service and Miscelleneous (Amenment) Bill, 1981",Ordinary Bill,LABOUR,36 of 1981,20/8/1981,25/8/1981,16/9/1981,18/9/1981,Assented,NA,NA,NA
XLIV,1981,"The Indian Veternary Council, Bill, 1981",Ordinary Bill,AGRICULTURE,52 of 1984,23/12/1981,23/7/1984,8/9/1984,18/8/1984,Assented,NA,NA,NA
XLIII,1981,"The Industrial Employment (Standing Orders) Amendment Bill, 1981",Ordinary Bill,LABOUR,18 of 1982,21/12/1981,25/3/1982,30/4/1982,5/11/1982,Assented,NA,NA,NA
XLII,1981,"The Major Port Trusts (Amendment) Bill, 1981",Ordinary Bill,SHIPPING,17 of 1982,14/12/1981,22/3/1982,28/4/1982,11/5/1982,Assented,NA,NA,NA
XLI,1981,"The Mental Health Bill, 1987",Ordinary Bill,HEALTH AND FAMILY WELFARE,14 of 1987,14/12/1981,26/11/1986,19/3/1987,25/5/1987,Assented,NA,NA,NA
XIV,1981,"The Pensions (Amendment) Bill, 1981",Ordinary Bill,HOME AFFAIRS,20 of 1982,18/8/1981,23/11/1981,29/4/1982,18/5/1982,Assented,NA,NA,NA
VI,1981,"The Delhi Sikh Gurdwaras (Amendment) Bill, 1981",Ordinary Bill,HOME AFFAIRS,6 of 1981,9/3/1981,17/3/1981,23/3/1981,25/3/1981,Assented,NA,NA,NA
IV,1981,"The Prevention of Blackmarketing and Maintenance of Supplies of Essential Commodities (Amendment) Bill, 1981",Ordinary Bill,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",19 of 1981,24/2/1981,23/4/1981,25/8/1981,9/2/1981,Assented,NA,NA,NA
III,1981,"The Essential Commodities (Special Provisions) Bill, 1981",Ordinary Bill,CIVIL AVIATION,18 of 1981,24/2/1981,23/4/1981,25/8/1981,2/9/1981,Assented,NA,NA,NA
